bond_sym_id,volume_weighted_yield_actual,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error
ADI4432502,5.1677836579292284,6.247443729691227,up,22.958608431858856,2023-09-12,-1.0796600717619986
ADI4974267,5.3957516666666665,6.259607346382822,up,16.378506316685904,2023-09-12,-0.8638556797161554
ADI5271547,5.0493326390532545,6.250290666944637,up,25.288657762026656,2023-09-12,-1.2009580278913825
ADI5271548,5.041411026702271,6.255768073734345,up,24.51034024723127,2023-09-12,-1.214357047032074
ADI5271549,5.450533347394541,6.19182287563608,up,13.678864464664633,2023-09-12,-0.7412895282415395
ADI5271550,5.279692896918982,5.468894191898934,up,3.051893882169118,2023-09-12,-0.1892012949799522
ADM.GL,5.165965857142855,6.285665487520881,up,21.92950396830365,2023-09-12,-1.119699630378026
ADM.GM,4.441895333333333,no data prior to target date,N/A,N/A,2023-09-12,N/A
ADM.GP,5.303527001364257,6.235208610986431,up,17.345660538669733,2023-09-12,-0.9316816096221743
ADM4392331,4.976707158038146,6.318086817052661,up,29.053090141035735,2023-09-12,-1.3413796590145148
ADM4540771,5.411857699999999,5.374585204270008,down,-0.9100627987911445,2023-09-12,0.03727249572999103
ADM4773867,5.293083,6.10117146358044,up,13.611872622864905,2023-09-12,-0.8080884635804395
ADM4971157,4.996351922779923,6.27059393526196,up,26.0131842172476,2023-09-12,-1.2742420124820368
ADM5367929,5.105522210065645,6.226752276461911,up,23.532217964065065,2023-09-12,-1.121230066396266
ADM5564429,5.123664598024316,6.123827812403595,up,20.211399030775144,2023-09-12,-1.0001632143792794
ADP4287440,5.248440822931785,6.2371085514107705,up,21.434438109433003,2023-09-12,-0.9886677284789851
ADP5029293,4.876127872093023,6.2854707676242185,up,29.066022492853786,2023-09-12,-1.4093428955311955
ADP5183440,4.858648326424871,6.231873977724054,up,28.99497131859746,2023-09-12,-1.3732256512991832
ADSK4504222,5.312950327868853,6.312346864425137,up,17.83078761680519,2023-09-12,-0.9993965365562838
ADSK4933609,5.477312413407822,6.250792930189899,up,16.527161408736934,2023-09-12,-0.7734805167820769
ADSK5275354,5.325524254810882,5.710699132769253,up,6.689674906955213,2023-09-12,-0.385174877958371
ADVO4664869,5.4607631972789115,6.125021504631871,up,13.231147212025466,2023-09-12,-0.6642583073529593
AEE.IA,5.8329055,6.196494566698983,up,5.24795782772685,2023-09-12,-0.3635890666989834
AEE3899397,5.857214037037037,6.140578901489219,up,5.18320881813344,2023-09-12,-0.28336486445218156
AEE4504577,5.208241099310345,5.997370200506794,up,14.739267578419682,2023-09-12,-0.7891291011964494
AEE4618395,5.742897000000001,6.125480095408833,up,5.881444564277293,2023-09-12,-0.3825830954088323
AEE4633269,5.09902,6.302838528573138,up,24.328861703306767,2023-09-12,-1.2038185285731373
AEE4764901,5.509882,5.712785647224064,up,4.610135409086439,2023-09-12,-0.20290364722406373
AEE4883511,6.121355198441248,6.096591740544628,up,1.2065502994608872,2023-09-12,0.02476345789661938
AEE4914049,5.502073566666666,6.112779292048489,up,10.786381392734395,2023-09-12,-0.6107057253818233
AEE4972837,5.637399306049822,6.216685858535633,up,9.917441356522371,2023-09-12,-0.5792865524858106
AEE5077433,5.414953,6.258357339798561,up,16.476876896825253,2023-09-12,-0.8434043397985613
AEE5139512,5.400633333333333,6.161787440548946,up,13.375437496887615,2023-09-12,-0.7611541072156127
AEE5200475,5.369290838560885,no data prior to target date,N/A,N/A,2023-09-12,N/A
AEE5302941,5.250123761904762,6.31919562533264,up,20.04715158210066,2023-09-12,-1.0690718634278777
AEE5383965,5.521713,6.0259169126776735,up,8.929108925145789,2023-09-12,-0.5042039126776734
AEE5501155,5.60288,6.059266364054383,up,7.751701457690897,2023-09-12,-0.45638636405438326
AEE5548628,5.700709894736843,6.025349009308967,up,6.244190544584587,2023-09-12,-0.3246391145721246
AEE5592042,5.405145999999999,6.250086437613705,up,15.838463807588909,2023-09-12,-0.8449404376137055
AEP.JQ,6.084011333333334,6.263599620820233,up,6.5246726643386115,2023-09-12,-0.17958828748689903
AEP.KS,6.231777799999997,6.218774502488223,up,0.8927842078599307,2023-09-12,0.01300329751177376
AEP.KY,6.128810142857144,5.969639790170345,down,-2.614656221322469,2023-09-12,0.15917035268679935
AEP.LF,6.0399769333333335,6.199887209934883,up,1.5639096947871185,2023-09-12,-0.15991027660154966
AEP.LH,5.991913157894737,6.172679584625482,up,3.307727972456604,2023-09-12,-0.18076642673074517
AEP.LJ,6.166413428571427,6.198243012832396,up,0.7659250002752768,2023-09-12,-0.03182958426096949
AEP.LL,5.956190377952757,6.166380750588627,up,3.09952078237666,2023-09-12,-0.2101903726358696
AEP3704185,5.824459136363636,6.241008413067337,up,7.884795668685199,2023-09-12,-0.4165492767037007
AEP4225317,6.2034925,6.151826604842934,down,-0.47466756507537855,2023-09-12,0.051665895157066544
AEP4245049,5.860732555555556,6.3244640759803055,up,9.492833125424081,2023-09-12,-0.46373152042474963
AEP4408776,5.598386676300577,6.286161560509063,up,13.157295672494387,2023-09-12,-0.6877748842084861
AEP4427269,5.269955,6.258146797299841,up,19.348026671101465,2023-09-12,-0.9881917972998409
AEP4494997,5.4878678,6.3095979913892295,up,18.211229277390327,2023-09-12,-0.8217301913892294
AEP4543470,6.108218769230769,6.115962914094543,up,0.2390429521747781,2023-09-12,-0.007744144863774061
AEP4563780,5.3445210535714285,6.313868945090206,up,18.100656339974712,2023-09-12,-0.9693478915187779
AEP4621212,5.554004206896551,6.134032179993957,up,9.827351020695328,2023-09-12,-0.5800279730974056
AEP4628426,5.23608,6.289857820601538,up,20.007819203240842,2023-09-12,-1.053777820601538
AEP4664067,5.855537315789475,6.132065080862579,up,5.734551286648909,2023-09-12,-0.27652776507310417
AEP4687615,5.5478118400000005,6.209521810109166,up,12.887019397252613,2023-09-12,-0.6617099701091655
AEP4773531,5.5179758992248065,5.368732301431582,down,-2.450572964261917,2023-09-12,0.14924359779322405
AEP4794624,5.604066857142858,6.029615296324666,up,7.642376435484913,2023-09-12,-0.4255484391818083
AEP4845237,5.584500555555555,6.096630537681602,up,8.984061794179098,2023-09-12,-0.512129982126047
AEP4961681,5.777076666666668,6.290887851533418,up,9.770866343896985,2023-09-12,-0.5138111848667499
AEP4961682,5.983034000000001,6.011251973489577,down,-0.0675557759937359,2023-09-12,-0.028217973489575776
AEP5082163,5.69009057712766,6.3161386793179375,up,11.484707148902059,2023-09-12,-0.6260481021902775
AEP5145676,5.717776,6.313155579836898,up,11.574222810426544,2023-09-12,-0.5953795798368979
AEP5146510,5.686546325443787,6.259924447838369,up,10.294208764120201,2023-09-12,-0.5733781223945815
AEP5179396,5.946951,6.01055121033464,up,1.4203145721491306,2023-09-12,-0.06360021033463958
AEP5239006,5.531701,6.279662127120081,up,12.459703540272956,2023-09-12,-0.7479611271200808
AEP5256223,5.593657,6.075283439991398,up,8.719261666757586,2023-09-12,-0.4816264399913974
AEP5294411,5.958463264604811,5.878544157594592,down,-1.3646215787990057,2023-09-12,0.07991910701021876
AEP5334385,5.878245782258064,6.336736771609809,up,4.411760197763684,2023-09-12,-0.4584909893517448
AEP5415149,5.673697176470589,6.27139891281601,up,11.4287540841105,2023-09-12,-0.5977017363454209
AEP5454477,5.732083470715835,6.2647279463985655,up,11.104130504208456,2023-09-12,-0.5326444756827309
AEP5458042,5.75319788372093,6.157237143634502,up,7.335589998995648,2023-09-12,-0.4040392599135716
AEP5497571,5.452689315515611,6.284441302043243,up,16.08629272791097,2023-09-12,-0.8317519865276317
AEP5497572,5.731287321585903,6.260946385682595,up,9.737440971117069,2023-09-12,-0.5296590640966921
AEP5522215,5.651528545531198,6.267243888535432,up,11.771828517419609,2023-09-12,-0.6157153430042337
AEP5548720,5.786729608275328,6.126675598516729,up,5.985244998022087,2023-09-12,-0.33994599024140104
AEP5554199,5.573978,6.0182198428416624,up,7.710610575319175,2023-09-12,-0.4442418428416621
AEP5558540,5.72792831336578,6.079239200195923,up,6.362799428839004,2023-09-12,-0.35131088683014333
AEP5563957,5.765133,6.137538379102657,up,6.63694387579117,2023-09-12,-0.37240537910265736
AEP5584303,5.557037,6.247123747452156,up,13.053365156722583,2023-09-12,-0.6900867474521561
AER4519766,6.122976,6.188965686514296,up,1.3188886021618347,2023-09-12,-0.06598968651429526
AER4566810,6.284694,6.315417228485288,up,1.5184848444488797,2023-09-12,-0.030723228485287635
AER4667191,6.253313157337368,6.11699058960347,down,-1.615464818130335,2023-09-12,0.13632256773389795
AER4786976,6.15211,5.21498928336107,down,-14.96194461793929,2023-09-12,0.9371207166389306
AER4814500,5.94030084,6.287654266582762,up,2.975155903554106,2023-09-12,-0.347353426582762
AER4997733,6.30382,6.3143094207811545,up,1.8429621046388012,2023-09-12,-0.010489420781154557
AER5050847,6.162730981884057,6.046799959066674,down,-1.629708783951173,2023-09-12,0.11593102281738332
AER5050850,6.676842,5.95004768053528,down,-10.600404344101417,2023-09-12,0.7267943194647195
AER5107540,6.1864444999999995,6.292262475664395,up,1.7418930343810872,2023-09-12,-0.10581797566439555
AER5286239,6.132030909090909,4.458460342057528,down,-26.0646155119354,2023-09-12,1.673570567033381
AER5286240,6.135979269858781,6.0440859882809175,down,-1.3072979763772565,2023-09-12,0.09189328157786392
AER5286241,6.310667588112618,4.861264251331767,down,-23.226406601197315,2023-09-12,1.4494033367808505
AER5286242,6.274595228699551,6.096268295581183,down,-2.7133473711207583,2023-09-12,0.17832693311836856
AER5286244,6.4199437774999994,6.325245238699668,up,0.042444964987940946,2023-09-12,0.09469853880033163
AER5286245,6.144764666666667,6.13556642055273,down,-1.4810107479544246,2023-09-12,0.009198246113936825
AER5286246,6.17019479776602,5.8289381647043355,down,-5.719046310768842,2023-09-12,0.3412566330616844
AER5286247,6.384393418604651,6.166675007560711,down,-3.547607909971081,2023-09-12,0.21771841104393985
AER5596397,6.117976764705882,6.17058651925009,up,1.4216235994597193,2023-09-12,-0.05260975454420791
AES3671691,9.828806333333333,6.273026780886982,down,-33.08368151374475,2023-09-12,3.5557795524463502
AES4819839,7.7420167999999965,6.296463104409925,down,-17.29230820426283,2023-09-12,1.4455536955900712
AES5179394,6.70919562275449,6.299377149531353,down,-5.6886980535327165,2023-09-12,0.4098184732231367
AES5186582,6.226006999999999,6.209930039239604,down,-0.46841113434391984,2023-09-12,0.016076960760394776
