bond_sym_id,volume_weighted_yield_actual,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error
AAPL5455706,5.19326827454982,5.727069887188025,up,10.25237846377526,2023-09-12,-0.5338016126382046
AAPL5584758,5.09695594932164,5.553010293328404,up,9.099625463232153,2023-09-12,-0.4560543440067635
AAPL5584911,4.929629584589614,6.020149716269766,up,21.385458060489768,2023-09-12,-1.0905201316801518
AAPL5584912,4.700980186399515,6.005456065834418,up,28.34353309806023,2023-09-12,-1.3044758794349027
AAPL5584913,4.666083171041837,5.960007355414644,up,27.813842733551503,2023-09-12,-1.2939241843728073
AAPL5584914,4.722930186986205,5.9306377842177795,up,26.331389556959152,2023-09-12,-1.2077075972315745
ABB3852142,5.6594665,5.737676592155205,up,1.378437971796407,2023-09-12,-0.07821009215520558
ABBV4036937,5.605950526806528,5.734929018044099,up,2.454395567604811,2023-09-12,-0.12897849123757066
ABBV4241910,5.697136467224275,6.105456204920928,up,8.40551818465236,2023-09-12,-0.40831973769665364
ABBV4241923,5.335661266903914,6.467282047127205,up,21.171558546641613,2023-09-12,-1.1316207802232912
ABBV4241924,5.659056509652508,5.6837687757808535,up,1.347640724315605,2023-09-12,-0.024712266128345206
ABBV4362386,5.353223096344574,6.06322344771934,up,14.76448314310968,2023-09-12,-0.7100003513747657
ABBV4362395,5.3729149591836745,5.867569793905984,up,9.158193586246286,2023-09-12,-0.49465483472230964
ABBV4362396,5.611172081560285,5.669246480317883,up,1.0090451505175042,2023-09-12,-0.05807439875759801
ABBV4693581,5.144302046109511,6.0205216353386675,up,17.53687118660921,2023-09-12,-0.8762195892291569
ABBV4693582,5.75739722577372,6.336618334626163,up,9.988320205645858,2023-09-12,-0.579221108852443
ABBV4693583,5.56775639681208,5.624858947953579,up,1.3831879966648715,2023-09-12,-0.05710255114149909
ABBV5066461,5.748373820969066,6.210846552914418,up,7.9441808205902396,2023-09-12,-0.4624727319453523
ABBV5068386,5.5150654823029726,5.82814956964613,up,5.704289012559254,2023-09-12,-0.3130840873431575
ABBV5068387,5.510708254341117,5.783505236833419,up,5.068720218329811,2023-09-12,-0.2727969824923022
ABBV5068389,5.669231160278746,5.718040548703533,up,1.2037820440008158,2023-09-12,-0.04880938842478688
ABBV5068390,5.6779876666666675,5.689957476082422,up,0.38340276547117247,2023-09-12,-0.01196980941575454
ABBV5082874,5.350733794421004,6.0143258023547865,up,12.446583498685113,2023-09-12,-0.6635920079337829
